epoch,train_epoch_time(min),train_lr,train_loss,train_loss_aux,eval_loss,eval_top1,eval_top5,eval_loss_ema,eval_top1_ema,eval_top5_ema
0,60.2,1e-06,6.900302327596224,6.906031223443838,6.810734726715088,0.562,2.242,6.90798796875,0.102,0.488
1,60.4,5.0799999999999995e-05,6.558322282937857,6.671121413891132,5.4258180270385745,6.576,18.662,6.90833421875,0.096,0.498
2,60.3,0.00010059999999999999,6.156853364064143,6.500349118159368,4.312459792633057,17.526,39.106,6.910917344055176,0.102,0.51
3,60.4,0.0001504,5.820950939105107,6.275493420087374,3.7055507315063476,26.232,51.54,6.9116317185974125,0.1,0.558
4,60.2,0.0002002,5.5078448332273044,6.025739862368657,3.255375803375244,33.218,60.132,6.90170546875,0.134,0.682
5,60.4,0.00024983554417054885,5.3411180422856255,5.852384402201726,2.957636761779785,38.492,65.476,6.849402694702149,0.302,1.13
6,60.4,0.0002497632074113926,5.140049879367535,5.634250127352201,2.6049049630737304,44.096,71.022,6.7384307809448245,0.77,2.532
7,60.4,0.00024967773726693496,5.057520738014808,5.528466453919044,2.4559885885620116,47.336,73.802,6.50216126953125,1.368,4.798
8,60.5,0.00024957914310994055,4.905238775106577,5.3579391699570875,2.2606530913543703,51.128,76.834,5.880577011871338,6.188,17.55
9,60.6,0.00024946743575236964,4.793068133867704,5.247623718701876,2.1365888998413087,53.498,78.646,4.653621911468506,22.034,44.782
10,60.4,0.0002493426274441928,4.70483292066134,5.169924369225135,2.0160919845581056,55.772,80.766,3.4493059242248534,38.054,64.168
11,60.4,0.00024920473187204755,4.593362166331365,5.034859088750986,1.9689295664978028,56.76,81.626,2.6738611808776858,48.472,74.306
12,60.4,0.00024905376415773736,4.54466928427036,4.994590392479529,1.8912516918182374,58.512,82.624,2.236198989944458,54.862,79.58
13,60.4,0.00024888974085657327,4.560159921646118,4.997673832453215,1.8369880946350097,59.658,83.76,1.9847351364135741,58.682,82.508
14,60.3,0.00024871267995555865,4.402877523348882,4.84319439301124,1.7580025511169433,60.866,84.452,1.8266024716186524,61.118,84.244
15,60.5,0.0002485226008714166,4.363953970945799,4.811514790241535,1.732907262878418,61.784,85.244,1.7249989052581787,62.76,85.472
16,60.5,0.0002483195244484606,4.2865336170563335,4.73835990520624,1.6776470348358155,62.676,85.636,1.651833514480591,64.02,86.446
17,60.5,0.00024810347295630905,4.293283572563758,4.751231101843027,1.6832580279541016,63.306,85.76,1.5946493836975097,65.248,87.234
18,60.3,0.0002478744700874427,4.234434072787945,4.688824011729314,1.611570280303955,64.094,86.418,1.5465243994903564,66.172,87.806
19,60.5,0.00024763254095460665,4.202761695935176,4.6595216897817755,1.5758443830108642,64.696,87.106,1.5034698844146728,67.074,88.3
20,60.4,0.0002473777120880567,4.220543733009925,4.678372736160572,1.5504004920959473,65.008,87.182,1.4672634253692627,67.858,88.714
