epoch,train_epoch_time(min),train_lr,train_loss,train_loss_aux,eval_loss,eval_top1,eval_top5,eval_loss_ema,eval_top1_ema,eval_top5_ema
0,43.2,1e-06,6.9090742610749745,6.906816641489665,6.855792125701904,0.454,1.7,6.90801576461792,0.1,0.498
1,43.5,0.00020899999999999998,6.395845004490444,6.504665170397077,4.78035885925293,11.856,30.06,6.906879270172119,0.136,0.562
2,43.6,0.000417,5.973480587913876,6.216820126488095,3.8193496368408204,23.706,48.708,6.866607665252686,0.234,1.196
3,43.5,0.0006195533295990718,5.476482391357422,5.858929338909331,3.0846118560791016,35.41,62.434,6.589019575500489,1.194,4.116
4,43.7,0.0006153393220470541,5.196764264787946,5.656358332861037,2.7866491577148436,42.75,69.814,4.993530947875977,16.492,36.584
5,43.7,0.0006099498787607597,4.977209136599586,5.477565061478388,2.5105545738220214,47.346,74.212,2.9935198616027834,41.548,68.116
6,43.6,0.0006034062694106373,4.733054342724028,5.259757859366281,2.283220600128174,51.52,77.354,2.3346995613098143,51.432,76.788
7,43.7,0.0005957343186333011,4.720787002926781,5.243628774370466,2.136124652481079,54.902,80.096,2.0616839359283445,56.058,80.474
8,43.8,0.000586964304113488,4.539535931178501,5.082529567536854,1.9932010314941406,57.064,81.446,1.8963704040527343,59.114,82.836
9,43.7,0.0005771308370918697,4.498452095758347,5.0444157010033015,1.9114027770996094,58.554,82.59,1.7807793342590332,61.326,84.306
10,43.8,0.0005662727257702963,4.387065433320545,4.924536932082403,1.8381174697875977,60.006,83.954,1.6921743324279785,63.058,85.536
11,43.6,0.0005544328221535552,4.38568571635655,4.936532656351726,1.7453965858459473,61.322,84.642,1.6189798435211182,64.5,86.416
12,43.8,0.0005416578529320841,4.417620204743885,4.958593550182524,1.6749244987487792,62.94,85.712,1.5597068908691407,65.594,87.156
13,43.1,0.0005279982350730718,4.187336149669829,4.729449181329636,1.661254387664795,63.648,86.28,1.5105442901611328,66.52,87.936
14,43.0,0.0005135078768477221,4.2934969039190385,4.83339277903239,1.636984111404419,64.694,86.634,1.466615022277832,67.346,88.436
15,43.0,0.0004982439650799356,4.212300675255912,4.751233259836833,1.5900985214233399,65.194,87.324,1.4314461490631103,68.166,88.902
16,43.1,0.00048226673945604145,4.0558165595645,4.606437955583845,1.5315288486480714,66.29,87.838,1.4006099876403808,68.83,89.332
17,43.0,0.0004656392547862774,4.077925455002558,4.632946127936954,1.523268168258667,66.872,88.162,1.367651161956787,69.56,89.808
18,43.1,0.00044842713215625983,3.9732208933149065,4.5106819697788785,1.4761667194366455,67.734,88.692,1.3431674125671387,70.026,89.998
19,43.0,0.00043069829995053856,4.197088922773089,4.7377720560346335,1.40674249458313,68.394,89.094,1.3200677154541016,70.62,90.268
20,42.9,0.00041252272577029637,3.988095204035441,4.536080496651786,1.3841957443237305,68.916,89.498,1.295763380432129,71.096,90.584
21,43.0,0.0003939721403031928,4.036660796120053,4.576595226923625,1.461858197402954,69.464,89.61,1.2718612590789795,71.614,90.896
22,42.9,0.0003751197542351104,3.8507084392365956,4.414518901279995,1.3483257152557373,70.036,89.916,1.2522276611328125,72.044,91.058
23,43.2,0.00035603996932102367,3.954740808123634,4.507882186344692,1.3056294811248779,70.664,90.222,1.2344213886260986,72.338,91.26
24,42.9,0.0003368080847552639,3.980329400017148,4.514392614364624,1.3060388175964355,70.688,90.384,1.2173136512756348,72.866,91.412
25,43.0,0.0003175,3.890117123013451,4.437083800633748,1.2889109336853026,71.116,90.64,1.2035137687683106,73.1,91.626
26,43.2,0.0002981919152447362,3.8428399903433665,4.408726714906239,1.306217668533325,71.664,90.86,1.1900263568878173,73.406,91.762
27,43.6,0.0002789600306789765,3.858705168678647,4.413121632167271,1.2555619903564452,71.896,91.166,1.1782662128448487,73.636,91.858
28,43.2,0.0002598802457648897,3.7918011915116083,4.359435172308059,1.23474556350708,72.208,91.364,1.1636072422027588,73.924,92.098
29,44.3,0.00024102785969680712,3.6743722643171037,4.243624914260137,1.214834387588501,72.686,91.582,1.1518816701889039,74.238,92.168
30,44.0,0.00022247727422970376,3.652946460814703,4.227512677510579,1.2572847246170045,72.86,91.616,1.1411276306152345,74.474,92.348
31,43.1,0.0002043017000494616,3.8036563964117143,4.388319844291324,1.1926380031585693,73.528,92.038,1.1296412019729614,74.618,92.486
32,43.0,0.00018657286784374015,3.672629855927967,4.258152984437489,1.1417666078567505,74.012,92.17,1.1186744506835937,74.916,92.644
33,43.0,0.0001693607452137225,3.57612293107169,4.159120309920538,1.2095554752349853,74.152,92.158,1.1097438343048096,75.078,92.722
34,43.0,0.00015273326054395845,3.603736786615281,4.191323632285709,1.1579915904998779,74.444,92.252,1.0996035541534424,75.292,92.808
35,43.0,0.00013675603492006454,3.531667811529977,4.129323902584257,1.1388631191253662,74.468,92.412,1.0938274740219116,75.478,92.824
36,43.0,0.0001214921231522779,3.5662351108732677,4.158032258351644,1.1129892148971559,75.044,92.538,1.0878517335891724,75.628,92.87
37,42.9,0.00010700176492692821,3.493949674424671,4.069999445052374,1.1135123655319215,75.212,92.648,1.0828388776779174,75.856,92.972
38,43.0,9.334214706791601e-05,3.5116098721822104,4.111338751656668,1.088369836807251,75.488,92.752,1.0768223804473878,75.948,93.052
39,43.0,8.056717784644484e-05,3.5345563547951833,4.135973237809681,1.0881188287734986,75.634,93.0,1.0721975326538087,76.028,93.102
40,43.0,6.872727422970369e-05,3.410533995855422,4.007372924259731,1.0882858263015747,75.674,92.966,1.0667896781921387,76.078,93.162
41,43.0,5.786916290813043e-05,3.4425790196373347,4.037347816285633,1.0903484523773193,75.972,93.064,1.0609998359680175,76.178,93.224
42,43.1,4.8035695886511945e-05,3.4223488739558627,4.040944757915678,1.0828523220062256,76.16,93.208,1.0573970279693603,76.33,93.268
43,43.0,3.926568136669905e-05,3.5605917431059337,4.171692780085972,1.0596601320266723,76.26,93.3,1.0558168979644775,76.486,93.356
44,43.0,3.159373058936271e-05,3.4270736830575124,4.032717659359887,1.052292614364624,76.298,93.272,1.053162229537964,76.514,93.33
45,43.0,2.5050121239240292e-05,3.558476459412348,4.176546993709746,1.0522059921264648,76.368,93.366,1.0515580924987793,76.452,93.366
46,43.4,1.9660677952945978e-05,3.450262330827259,4.067440532502674,1.0556526113510132,76.484,93.36,1.049524471282959,76.504,93.38
